
####################################################################################################
############################    New Connection @ 13:27:01 | 04-12-15    ############################
####################################################################################################

[LOG: 13:27:31 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 30
[LOG: 13:27:32 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 23
[LOG: 13:27:32 | 04-12-15] - PubEvent pub00, /p00-0, 31
[LOG: 13:27:32 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 31
[LOG: 13:27:32 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 31
[LOG: 13:27:32 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 31
[LOG: 13:27:32 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 31
[LOG: 13:27:32 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 23
[LOG: 13:27:32 | 04-12-15] - PubEvent pub10, /p00-1, 31
[LOG: 13:27:32 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 31
[LOG: 13:27:32 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 31
[LOG: 13:27:32 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 31
[LOG: 13:27:32 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 6
[LOG: 13:27:32 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 7
[LOG: 13:27:32 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 8
[LOG: 13:27:32 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 25
[LOG: 13:27:32 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 15
[LOG: 13:27:32 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 28
[LOG: 13:27:32 | 04-12-15] - PubEvent pub00, /p00-0, 32
[LOG: 13:27:32 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 32
[LOG: 13:27:32 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 32
[LOG: 13:27:32 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 32
[LOG: 13:27:32 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 32
[LOG: 13:27:32 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 24
[LOG: 13:27:32 | 04-12-15] - PubEvent pub10, /p00-1, 32
[LOG: 13:27:32 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 32
[LOG: 13:27:32 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 32
[LOG: 13:27:32 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 32
[LOG: 13:27:32 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 23
[LOG: 13:27:32 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 9
[LOG: 13:27:32 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 10
[LOG: 13:27:32 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 29
[LOG: 13:27:32 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 11
[LOG: 13:27:32 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 5
[LOG: 13:27:32 | 04-12-15] - SubEvent sub20, pub00, /p00-0, 5
[LOG: 13:27:32 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 13
[LOG: 13:27:32 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 16
